Herald
Initiate of Aasterinian
Initiate of Amaunator
Initiate of Anhur
Initiate of Anhur (ranger only)
Initiate of Arvoreen
Initiate of Astilabor
Initiate of Bahamut
Initiate of Bane
Initiate of Baravar Cloakshadow
Initiate of Boccab
Initiate of Boccob
Initiate of Cyric
Initiate of Ehlonna
Initiate of Eilistraee
Initiate of Erythnul
Initiate of Falazure
Initiate of Fharlanghn
Initiate of Garyx
Initiate of Ghaunadaur
Initiate of Gond
Initiate of Gruumsh
Initiate of Heironeous
Initiate of Helm
Initiate of Hextor
Initiate of Hlal
Initiate of Horus-Re
Initiate of Horus-Re (Cleric only)
Initiate of Horus-Re (Paladin and Ranger only)
Initiate of Ilmater
Initiate of Io
Initiate of Kord
Initiate of Kossuth
Initiate of Lathander
Initiate of Lendys
Initiate of Loviatar
Initiate of Malar
Initiate of Milil
Initiate of Mystra
Initiate of Nature
Initiate of Nerull
Initiate of Nobanion
Initiate of Obad-Hai
Initiate of Pelor
Initiate of Selune
Initiate of Selûne
Initiate of Shar
Initiate of St. Cuthbert
Initiate of Tamara
Initiate of Tchazzar
Initiate of the Holy Realm
Initiate of Tiamat
Initiate of Torm
Initiate of Torm (Cleric only)
Initiate of Torm (Paladin only)
Initiate of Tymora
Initiate of Tyr
Initiate of Varae
Initiate of Vecna
Initiate of Wee Jas
Oneiromancy
