Aboleth,1,1,1
Aboleth Mage,1,2,1
Achaierai,1,0,1
Allip,1,0,1
Angel,0,0,1
"Angel, Astral Deva",1,0,1
"Angel, Planetar",2,0,1
"Angel, Solar",3,0,1
Animated Object,1,1,3
Animated Object,2,1,3
Animated Object,3,1,1
Ankheg,1,0,1
Aranea,1,0,1
Archon,0,0,1
Lantern Archon,1,0,1
Hound Archon,2,1,1
Hound Archon Hero,2,2,1
Trumpet Archon,3,0,1
Arrowhawk,1,1,3
Assassin Vine,1,0,1
Athach,1,0,1
Avoral,1,0,1
Azer,1,0,1
Barghest,1,1,1
Greater Barghest,1,2,1
Basilisk,1,1,1
Abyssal Greater Basilisk,1,2,1
Behir,1,0,1
Belker,1,0,1
Blink Dog,1,0,1
Bodak,1,0,1
Bralani,1,0,1
Bugbear,1,0,1
Bulette,1,0,1
Celestial Creature,0,0,1
Centaur,1,0,1
Chaos Beast,1,0,1
Chimera,1,0,1
Choker,1,0,1
Chuul,1,0,1
Cloaker,1,0,1
Cockatrice,1,0,1
Couatl,1,0,1
Darkmantle,1,0,1
Delver,1,0,1
Demon,0,0,1
Babau,1,0,1
Balor,2,0,1
Bebilith,3,0,1
Dretch,4,0,1
Glabrezu,5,0,1
Hezrou,6,0,1
Marilith,7,0,1
Nalfeshnee,8,0,1
Quasit,9,0,1
Retriever,10,0,1
Succubus,11,0,1
Vrock,12,0,1
Derro,1,0,1
Destrachan,1,0,1
Devil,0,0,1
Barbed Devil (Hamatula),1,0,1
Bearded Devil (Barbazu),2,0,1
Bone Devil (Osyluth),3,0,1
Chain Devil (Kyton),4,0,1
Erinyes,5,0,1
Hellcat (Bezekira),6,0,1
Horned Devil (Cornugon),7,0,1
Ice Devil (Gelugon),8,0,1
Imp,9,0,1
Lemure,10,0,1
Pit Fiend,11,0,1
Devourer,1,0,1
Digester,1,0,1
Dinosaur,0,0,1
Deinonychus,1,0,1
Elasmosaurus,2,0,1
Megaraptor,3,0,1
Triceratops,4,0,1
Tyrannosaurus,5,0,1
Dire Animal,0,0,1
Dire Ape,1,0,1
Dire Badger,1,0,1
Dire Bat,1,0,1
Dire Bear,1,0,1
Dire Boar,1,0,1
Dire Lion,1,0,1
Dire Rat,1,1,1
Dire Rat,1,2,1
Dire Shark,1,0,1
Dire Tiger,1,0,1
Dire Weasel,1,0,1
Dire Wolf,1,0,1
Dire Wolverine,1,0,1
Doppelganger,1,0,1
"Dragon, True",0,0,1
Chromatic Dragons,0,0,1
Black Dragon,0,0,1
Blue Dragon,0,0,1
Green Dragon,0,0,1
Red Dragon,0,0,1
White Dragon,0,0,1
Metallic Dragons,0,0,1
Brass Dragon,0,0,1
Bronze Dragon,0,0,1
Copper Dragon,0,0,1
Gold Dragon,0,0,1
Silver Dragon,0,0,1
Dragon Turtle,1,0,1
Dragonne,1,0,1
Drider,1,0,1
Dryad,1,0,1
Dwarf,1,1,1
Deep Dwarf,0,1,1
Duergar,1,2,1
Mountain Dwarf,1,1,1
"Eagle, Giant",1,0,1
Elemental,0,0,0
Air Elemental,1,1,3
Air Elemental,2,1,3
Earth Elemental,4,1,3
Earth Elemental,5,1,3
Fire Elemental,7,1,3
Fire Elemental,8,1,3
Water Elemental,10,1,3
Water Elemental,11,1,3
Elf,1,1,1
Half-Elf,0,0,1
Aquatic Elf,0,0,1
Drow,1,2,1
Gray Elf,0,0,1
Wild Elf,0,0,1
Wood Elf,0,0,1
Ethereal Filcher,1,0,1
Ethereal Marauder,1,0,1
Ettercap,1,0,1
Ettin,1,0,1
Fiendish Creature,0,0,1
Formian,0,0,1
Worker,1,1,1
Warrior,1,2,1
Taskmaster,1,3,1
Myrmarch,2,1,1
Queen,2,2,1
Frost Worm,1,0,1
Fungus,0,0,1
Shrieker,1,1,1
Violet Fungus,1,2,1
Gargoyle,1,0,1
Kapoacinth,0,0,1
Genie,0,0,1
Djinni,1,0,1
Noble Djinn,0,0,1
Efreeti,2,0,1
